ensgene,SRR923920,SRR923921,SRR923923,SRR923924,SRR923925,SRR923927,SRR923926,SRR923929,SRR923928,SRR923930,SRR923931,SRR923933,SRR923932
ENSG00000064886,18,160,148,44,600,75,81,198,222,22,549,38,63
ENSG00000064932,645,2201,974,1315,1079,619,1650,1578,955,962,1390,1508,1253
ENSG00000064933,337,464,518,352,515,507,523,412,609,504,579,608,596
ENSG00000064961,8847,6944,5872,7110,4170,4819,6354,2696,4192,2330,2708,1846,2185
ENSG00000064989,274,293,528,315,240,265,266,251,454,392,430,382,406
ENSG00000064995,606,553,601,587,756,459,778,568,589,637,669,702,712
ENSG00000064999,832,1338,1221,1117,1055,765,1187,1044,914,873,1829,1115,1297
ENSG00000065000,5575,7826,7358,8437,5699,4215,7133,6323,4973,4896,5881,4940,5135
ENSG00000065029,1476,2383,1965,2434,1487,1539,1899,2574,1832,1446,2029,1581,1761
ENSG00000065054,5100,4582,5789,6154,2530,3100,4121,2732,1992,2619,2440,1821,2001
ENSG00000065057,158,285,209,325,211,194,359,351,212,166,319,296,273
ENSG00000065060,773,547,668,602,621,365,805,372,483,516,568,430,433
ENSG00000065135,1691,1340,1817,1420,2406,1348,2068,1198,1262,1112,1875,2071,2060
ENSG00000065150,1927,2318,3047,2911,3676,2354,3019,2580,2244,3021,4108,3281,3135
ENSG00000065154,858,1377,2007,1271,1749,1029,1661,1878,1584,1988,2429,3035,2893
ENSG00000065183,409,328,392,505,431,316,435,268,464,300,488,383,331
ENSG00000065243,389,438,675,305,886,409,727,418,372,463,596,880,877
ENSG00000065268,399,527,646,966,1156,327,786,430,243,430,719,470,876
ENSG00000065308,1202,1213,874,1197,715,877,989,1162,809,729,1250,772,1122
ENSG00000065320,44,389,555,166,412,170,481,656,368,531,802,705,737
ENSG00000065325,24,0,2,0,2,0,6,0,8,0,15,15,5
ENSG00000065328,12,46,14,13,12,11,6,12,20,0,14,10,5
ENSG00000065357,2958,3379,1321,1151,1383,2197,2120,2291,3793,1879,2023,1504,1273
ENSG00000065361,11029,8589,7866,7975,6474,5886,7990,5444,5028,4871,4108,4526,4862
ENSG00000065371,2,3,3,29,2,4,2,2,0,0,5,2,2
ENSG00000065413,104,175,69,92,102,147,108,154,360,82,210,138,95
ENSG00000065427,4239,3525,4193,4821,4006,3917,4933,3440,3295,3185,4151,3742,3527
ENSG00000065457,499,540,738,832,519,650,585,393,342,527,668,360,343
ENSG00000065485,3121,1252,2893,4475,2807,2037,3903,1439,755,917,1106,510,993
ENSG00000065491,404,541,801,1104,471,427,610,615,473,613,681,642,652
ENSG00000065518,4903,2368,3746,4256,3583,5679,3206,3152,2261,2660,2797,2031,1769
ENSG00000065526,1932,3565,3335,2653,1750,2087,2495,4564,3211,3352,3970,2833,3172
ENSG00000065534,6967,16793,29957,4701,23864,12992,13299,24161,21138,22481,48576,30423,28014
ENSG00000065548,1922,1885,2273,1955,2941,1911,3124,2120,1926,1393,1993,2813,2650
ENSG00000065559,1102,935,1426,947,1189,899,1145,776,599,898,1165,926,856
ENSG00000065600,271,207,297,418,283,180,397,122,174,45,74,108,141
ENSG00000065609,5,35,494,173,211,32,173,27,27,18,99,52,16
ENSG00000065613,1405,1196,1450,561,1694,1249,1839,1220,1353,1545,1823,1701,1581
ENSG00000065615,198,197,203,125,345,147,267,166,194,79,201,302,217
ENSG00000065618,21,876,361,48,503,143,508,1360,934,1213,2358,949,836
ENSG00000065621,2312,1113,1831,336,1123,1394,1648,1384,681,1941,2082,1348,1467
ENSG00000065665,581,588,565,398,506,661,456,639,489,417,653,418,479
ENSG00000065675,39,152,26,55,58,107,113,139,214,54,151,116,92
ENSG00000065717,914,2593,2666,1057,1508,1257,1902,2854,1618,2628,3020,2644,2518
ENSG00000065802,496,770,691,498,784,663,921,911,880,681,1018,1224,1172
ENSG00000065809,922,1334,916,772,830,1215,1669,753,1296,950,921,1226,981
ENSG00000065833,142,162,354,86,406,229,187,244,162,162,459,193,271
ENSG00000065882,982,1400,1727,1422,1479,1462,1491,1421,1440,1482,2479,1592,2181
ENSG00000065883,1719,2210,1785,1835,1644,1993,1733,1938,2279,1873,2396,1747,1761
ENSG00000065911,1030,789,751,993,794,696,1033,633,634,432,504,382,520
ENSG00000065923,2405,783,1462,823,1389,1215,1369,712,558,826,760,664,805
ENSG00000065970,544,1061,1010,647,721,586,952,1260,1006,1245,1513,1275,1270
ENSG00000065978,11645,9685,10193,11251,9043,12098,8444,11050,10071,10499,12785,9157,7936
ENSG00000065989,251,592,827,345,355,265,412,1039,377,342,914,588,665
ENSG00000066027,1078,871,1238,637,1063,1253,1144,1008,1164,1135,1491,1255,1151
ENSG00000066032,0,6,8,4,9,44,8,42,0,10,2,3,11
ENSG00000066044,1392,1726,2180,2283,2002,1431,1976,1872,1413,1485,1910,1842,1741
ENSG00000066056,352,583,706,546,488,305,663,947,757,637,689,602,1153
ENSG00000066084,889,635,657,949,822,585,792,461,525,475,889,590,626
ENSG00000066117,1241,2040,1900,2194,1490,1434,1597,2492,1555,1716,2093,1721,1685
ENSG00000066135,1174,1875,1820,1759,1554,1061,2173,1367,1071,1126,1866,1518,1557
ENSG00000066136,1625,2329,2256,2130,1562,1838,2223,2213,1746,2386,3121,1982,1816
ENSG00000066185,203,117,141,292,210,140,119,120,91,162,143,80,60
ENSG00000066230,65,93,93,409,118,62,119,205,118,104,345,145,123
ENSG00000066248,18,18,87,149,50,39,59,97,17,66,93,61,102
ENSG00000066279,57,94,14,77,55,11,33,15,60,0,12,5,17
ENSG00000066294,614,947,86,190,335,1189,392,265,1036,74,515,222,242
ENSG00000066322,3972,3460,4570,3320,3134,2721,3632,2794,2287,2037,2554,1405,1916
ENSG00000066336,508,940,164,312,366,714,368,504,738,195,653,88,289
ENSG00000066379,346,298,377,543,482,366,540,572,451,431,453,573,473
ENSG00000066382,1726,553,1344,165,991,1560,1339,934,431,2181,1670,2397,1561
ENSG00000066405,3,1,3,0,1,4,4,0,28,0,5,14,7
